Event	ID	Name			Wwise Object Path	Notes
	3587038523	Rayman_SW_Footsteps_Play			\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps_Play	

Switch Group	ID	Name			Wwise Object Path	Notes
	785877586	Rayman_SW_Footsteps			\Default Work Unit\Rayman_SW_Footsteps	

Switch	ID	Name	Switch Group			Notes
	787898836	Snow	Rayman_SW_Footsteps			
	2058049674	Wood	Rayman_SW_Footsteps			
	2473969246	Metal	Rayman_SW_Footsteps			
	2830102203	Pavement	Rayman_SW_Footsteps			
	3071020303	CountryRoad	Rayman_SW_Footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	26060977	Footsteps_Metal_01	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Metal_01_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Metal\Footsteps_Metal_01		51456
	32816289	Footsteps_Wood_01	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Wood_01_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Wood\Footsteps_Wood_01		16704
	98844674	Footsteps_Snow_02	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Snow_02_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Snow\Footsteps_Snow_02		56240
	196183892	Footsteps_Metal_02	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Metal_02_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Metal\Footsteps_Metal_02		60724
	252775063	Footsteps_CountryRoad_03	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_CountryRoad_03_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_CountryRoad\Footsteps_CountryRoad_03		33664
	276078956	Footsteps_Wood_03	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Wood_03_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Wood\Footsteps_Wood_03		26672
	300551156	Footsteps_Wood_04	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Wood_04_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Wood\Footsteps_Wood_04		26400
	313842322	Footsteps_Wood_02	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Wood_02_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Wood\Footsteps_Wood_02		15248
	318046673	Footsteps_Pavement_01	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Pavement_01_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Pavement\Footsteps_Pavement_01		17888
	443147835	Footsteps_Snow_05	C:\Users\Pol\Desktop\Projets Wwise\ISTDS_PThomas_Cours_JeremyGavoile_141210\.cache\Mac\SFX\Footsteps\Footsteps_Snow_05_ABA27AF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\300_MC\Rayman\Rayman_SW_Footsteps\Rayman_Footsteps_Snow\Footsteps_Snow_05		66112
